CommitId;RefactoringType;RefactoringDetail
340beca75040da67e495284ce34756c9f7e567b4;Rename Method;Rename Method	public getTestWatchman() : MethodRule renamed to public getSomeMethodRule() : MethodRule in class org.junit.tests.experimental.rules.RuleMemberValidatorTest.TestMethodWithStaticMethodRule
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Attribute;Move Attribute	private DEFAULT_FACTORY : ParametersRunnerFactory from class org.junit.runners.Parameterized to class org.junit.runners.Parameterized.RunnersFactory
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Method;Move Method	private getParametersRunnerFactory(klass Class<?>) : ParametersRunnerFactory from class org.junit.runners.Parameterized to private getParametersRunnerFactory() : ParametersRunnerFactory from class org.junit.runners.Parameterized.RunnersFactory
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Method;Move Method	private createTestWithNotNormalizedParameters(pattern String, index int, parametersOrSingleParameter Object) : TestWithParameters from class org.junit.runners.Parameterized to private createTestWithNotNormalizedParameters(pattern String, index int, parametersOrSingleParameter Object) : TestWithParameters from class org.junit.runners.Parameterized.RunnersFactory
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Method;Move Method	private allParameters() : Iterable<Object> from class org.junit.runners.Parameterized to private allParameters() : Iterable<Object> from class org.junit.runners.Parameterized.RunnersFactory
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Method;Move Method	private getParametersMethod() : FrameworkMethod from class org.junit.runners.Parameterized to private getParametersMethod() : FrameworkMethod from class org.junit.runners.Parameterized.RunnersFactory
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Method;Move Method	private createRunnersForParameters(allParameters Iterable<Object>, namePattern String, runnerFactory ParametersRunnerFactory) : List<Runner> from class org.junit.runners.Parameterized to private createRunnersForParameters(allParameters Iterable<Object>, namePattern String, runnerFactory ParametersRunnerFactory) : List<Runner> from class org.junit.runners.Parameterized.RunnersFactory
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Method;Move Method	private createTestsForParameters(allParameters Iterable<Object>, namePattern String) : List<TestWithParameters> from class org.junit.runners.Parameterized to private createTestsForParameters(allParameters Iterable<Object>, namePattern String) : List<TestWithParameters> from class org.junit.runners.Parameterized.RunnersFactory
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Method;Move Method	private parametersMethodReturnedWrongType() : Exception from class org.junit.runners.Parameterized to private parametersMethodReturnedWrongType() : Exception from class org.junit.runners.Parameterized.RunnersFactory
495a9a93e4a1157e707a01467e7cc3f600c88d19;Move Method;Move Method	private createTestWithParameters(testClass TestClass, pattern String, index int, parameters Object[]) : TestWithParameters from class org.junit.runners.Parameterized to private createTestWithParameters(testClass TestClass, pattern String, index int, parameters Object[]) : TestWithParameters from class org.junit.runners.Parameterized.RunnersFactory
99b0ebc70e061d7620179f4e72e735e3944e54cd;Move Class;Move Class	org.junit.tests.experimental.rules.MethodRulesTest.MultipleRuleTest.Increment moved to org.junit.tests.experimental.rules.MethodRulesTest.Increment
f6149a9236d9a2778bf2fd6db927fd9f498a79c8;Extract Method;Extract Method	private assertSerializedCorrectly(result Result, fromStream Result) : void extracted from private assertResultSerializable(result Result) : void in class junit.tests.runner.ResultTest
755a82f05ea6cfb884d72041b404fc1c8129f92c;Extract Method;Extract Method	protected createFailOnTimeoutStatement(statement Statement) : Statement extracted from public apply(base Statement, description Description) : Statement in class org.junit.rules.Timeout
daa46e409f29cd21f9b3a9036fd858c3c21e564f;Rename Method;Rename Method	public AssumptionViolatedExceptionDescribesItself() : void renamed to public assumptionViolatedExceptionWithMatcherDescribesItself() : void in class org.junit.AssumptionViolatedExceptionTest
0ffc637a33164dd219a6fbbb7210db84779c700a;Rename Class;Rename Class	org.junit.rules.StopwatchTest.WrongDurationTest renamed to org.junit.rules.StopwatchTest.DurationDuringTestTest
0ffc637a33164dd219a6fbbb7210db84779c700a;Rename Method;Rename Method	public wrongDuration() : void renamed to public runtimeDuringTestShouldReturnTimeSinceStart() : void in class org.junit.rules.StopwatchTest
7ae75535efbb7a95ac62cfa1d0ccb626cc23e8c7;Move Class;Move Class	org.junit.tests.experimental.rules.StopwatchTest.SuccessfulTest moved to org.junit.rules.StopwatchTest.SuccessfulTest
7ae75535efbb7a95ac62cfa1d0ccb626cc23e8c7;Move Class;Move Class	org.junit.tests.experimental.rules.StopwatchTest.FailedTest moved to org.junit.rules.StopwatchTest.FailedTest
7ae75535efbb7a95ac62cfa1d0ccb626cc23e8c7;Move Class;Move Class	org.junit.tests.experimental.rules.StopwatchTest.SkippedTest moved to org.junit.rules.StopwatchTest.SkippedTest
